user_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_SCORE,segment
U000109,33,3,7021.42,3,3,3,333,普通用户
U000110,40,3,8236.119999999999,3,3,4,334,普通用户
U000111,1,6,25677.7,5,5,5,555,高价值用户
U000112,47,6,10339.05,3,5,4,354,普通用户
U000113,48,5,7014.96,3,5,3,353,普通用户
U000114,15,4,9862.119999999999,4,4,4,444,普通用户
U000115,5,4,6457.22,5,4,3,543,普通用户
U000116,132,1,727.96,1,1,1,111,普通用户
U000117,31,3,7242.52,3,3,3,333,普通用户
U000118,16,6,26885.81,4,5,5,455,高价值用户
U000120,108,2,5577.599999999999,1,1,3,113,普通用户
U000121,14,4,13213.23,5,4,4,544,普通用户
U000122,50,3,26428.51,3,3,5,335,高价值用户
U000123,61,2,8282.92,2,1,4,214,普通用户
U000124,68,3,8277.55,2,3,4,234,普通用户
U000125,11,3,1856.81,5,3,1,531,普通用户
U000126,4,6,29514.84,5,5,5,555,高价值用户
U000127,38,1,475.64,3,1,1,311,普通用户
U000128,57,5,11753.64,2,5,4,254,普通用户
U000129,10,13,45768.409999999996,5,5,5,555,高价值用户
U000130,115,2,3488.46,1,1,2,112,普通用户
U000131,27,4,20202.63,4,4,5,445,高价值用户
U000132,15,3,19651.93,4,3,5,435,高价值用户
U000133,15,6,13785.94,4,5,4,454,普通用户
U000134,20,4,5324.099999999999,4,4,3,443,普通用户
U000135,28,2,3093.34,4,1,2,412,普通用户
U000136,18,5,7177.76,4,5,3,453,普通用户
U000137,93,2,17845.710000000003,1,1,5,115,高价值用户
U000138,48,2,2423.33,3,1,2,312,普通用户
U000139,1,6,13597.47,5,5,4,554,普通用户
U000140,63,5,35207.32,2,5,5,255,高价值用户
U000141,49,6,23684.329999999998,3,5,5,355,高价值用户
U000142,18,5,6341.860000000001,4,5,3,453,普通用户
U000143,152,1,1257.73,1,1,1,111,普通用户
U000144,3,3,4355.27,5,3,2,532,普通用户
U000145,8,2,2160.03,5,1,1,511,普通用户
U000146,149,1,905.98,1,1,1,111,普通用户
U000147,144,2,4046.39,1,1,2,112,普通用户
U000148,64,4,28628.54,2,4,5,245,高价值用户
U000149,47,1,1304.9,3,1,1,311,普通用户
U000150,13,3,3249.88,5,3,2,532,普通用户
U000151,63,1,780.43,2,1,1,211,普通用户
U000152,23,3,16668.28,4,3,5,435,高价值用户
U000153,8,6,6838.21,5,5,3,553,普通用户
U000154,22,7,21444.88,4,5,5,455,高价值用户
U000155,139,2,1707.2,1,1,1,111,普通用户
U000156,46,1,1356.97,3,1,1,311,普通用户
U000158,124,1,534.32,1,1,1,111,普通用户
U000159,5,5,4052.4,5,5,2,552,普通用户
U000160,6,5,10026.76,5,5,4,554,普通用户
U000161,5,9,32363.46,5,5,5,555,高价值用户
U000162,41,5,7957.51,3,5,3,353,普通用户
U000163,36,1,438.17,3,1,1,311,普通用户
U000164,54,4,3735.29,2,4,2,242,普通用户
U000165,60,3,4351.5,2,3,2,232,普通用户
U000166,41,3,6210.6,3,3,3,333,普通用户
U000167,86,1,664.45,2,1,1,211,普通用户
U000168,130,2,2542.26,1,1,2,112,普通用户
U000169,158,1,8939.25,1,1,4,114,普通用户
U000170,100,1,10641.35,1,1,4,114,普通用户
U000173,2,5,19176.13,5,5,5,555,高价值用户
U000174,18,3,9153.61,4,3,4,434,普通用户
U000175,22,3,40275.9,4,3,5,435,高价值用户
U000176,101,3,3567.6,1,3,2,132,普通用户
U000177,24,3,23655.78,4,3,5,435,高价值用户
U000178,40,3,4278.13,3,3,2,332,普通用户
U000179,49,4,7504.68,3,4,3,343,普通用户
U000180,57,4,4223.07,2,4,2,242,普通用户
U000181,120,1,510.31,1,1,1,111,普通用户
U000182,37,4,2456.87,3,4,2,342,普通用户
U000183,10,3,9263.33,5,3,4,534,普通用户
U000184,25,2,1594.46,4,1,1,411,普通用户
U000185,124,1,5710.99,1,1,3,113,普通用户
U000186,111,4,6158.68,1,4,3,143,普通用户
U000187,30,5,25473.329999999998,4,5,5,455,高价值用户
U000188,139,1,1606.33,1,1,1,111,普通用户
U000189,29,1,330.0,4,1,1,411,普通用户
U000190,24,6,14713.57,4,5,4,454,普通用户
U000191,23,4,21992.2,4,4,5,445,高价值用户
U000192,4,1,1640.13,5,1,1,511,普通用户
U000193,4,6,8907.289999999999,5,5,4,554,普通用户
U000194,44,3,19305.49,3,3,5,335,高价值用户
U000195,12,4,63148.96,5,4,5,545,高价值用户
U000196,104,4,7535.889999999999,1,4,3,143,普通用户
U000197,25,5,8502.15,4,5,4,454,普通用户
U000198,63,2,4435.610000000001,2,1,2,212,普通用户
U000199,8,5,13834.92,5,5,4,554,普通用户
U000200,93,3,6059.66,1,3,3,133,普通用户
U000201,60,2,5805.37,2,1,3,213,普通用户
U000202,48,1,1345.21,3,1,1,311,普通用户
U000203,15,4,6580.18,4,4,3,443,普通用户
U000204,29,2,23248.25,4,1,5,415,高价值用户
U000205,30,4,22027.12,4,4,5,445,高价值用户
U000206,17,2,4345.84,4,1,2,412,普通用户
U000207,27,3,6332.44,4,3,3,433,普通用户
U000208,2,1,1783.9,5,1,1,511,普通用户
U000209,84,2,2574.09,2,1,2,212,普通用户
U000210,2,3,6473.639999999999,5,3,3,533,普通用户
U000211,23,3,16393.34,4,3,5,435,高价值用户
U000212,7,6,6465.75,5,5,3,553,普通用户
U000213,74,4,24740.36,2,4,5,245,高价值用户
U000214,54,5,31604.53,2,5,5,255,高价值用户
U000215,45,4,10565.599999999999,3,4,4,344,普通用户
U000219,1,6,9829.08,5,5,4,554,普通用户
U000220,123,3,4687.75,1,3,3,133,普通用户
U000221,37,4,8447.69,3,4,4,344,普通用户
U000222,63,1,871.37,2,1,1,211,普通用户
U000223,22,2,3316.55,4,1,2,412,普通用户
U000224,11,2,1269.3,5,1,1,511,普通用户
U000225,15,4,5774.33,4,4,3,443,普通用户
U000226,140,1,687.76,1,1,1,111,普通用户
U000227,11,2,3917.0200000000004,5,1,2,512,普通用户
U000228,10,7,6685.5,5,5,3,553,普通用户
U000229,28,5,5790.76,4,5,3,453,普通用户
U000230,11,4,18856.670000000002,5,4,5,545,高价值用户
U000231,27,3,6731.23,4,3,3,433,普通用户
U000232,43,5,15852.75,3,5,4,354,普通用户
U000233,112,1,1478.6,1,1,1,111,普通用户
U000234,13,7,31425.440000000002,5,5,5,555,高价值用户
U000235,58,3,14281.1,2,3,4,234,普通用户
U000236,22,4,11077.75,4,4,4,444,普通用户
U000237,4,6,7531.48,5,5,3,553,普通用户
U000238,15,3,2739.33,4,3,2,432,普通用户
U000240,24,4,4509.65,4,4,2,442,普通用户
U000241,109,4,27541.829999999998,1,4,5,145,高价值用户
U000242,118,2,3980.1,1,1,2,112,普通用户
U000243,89,1,29013.75,1,1,5,115,高价值用户
U000244,50,6,12739.19,3,5,4,354,普通用户
U000245,3,3,8605.75,5,3,4,534,普通用户
U000246,103,2,1788.98,1,1,1,111,普通用户
U000247,53,5,8863.51,2,5,4,254,普通用户
U000248,26,3,7817.2,4,3,3,433,普通用户
U000249,73,2,13112.73,2,1,4,214,普通用户
U000250,6,3,16091.38,5,3,4,534,普通用户
U000251,74,3,35625.91,2,3,5,235,高价值用户
U000252,68,2,4758.719999999999,2,1,3,213,普通用户
U000253,89,4,4745.71,1,4,3,143,普通用户
U000254,101,3,9562.96,1,3,4,134,普通用户
U000255,24,2,4519.37,4,1,2,412,普通用户
U000256,67,2,7165.889999999999,2,1,3,213,普通用户
U000257,11,2,3301.87,5,1,2,512,普通用户
U000258,29,4,30172.73,4,4,5,445,高价值用户
U000259,48,6,11682.130000000001,3,5,4,354,普通用户
U000260,104,3,9766.77,1,3,4,134,普通用户
U000261,8,7,26801.2,5,5,5,555,高价值用户
U000262,107,1,2545.46,1,1,2,112,普通用户
U000263,128,2,12249.22,1,1,4,114,普通用户
U000264,49,5,4769.97,3,5,3,353,普通用户
U000265,56,1,23043.78,2,1,5,215,高价值用户
U000266,41,3,6725.25,3,3,3,333,普通用户
U000267,9,3,3878.9,5,3,2,532,普通用户
U000268,10,4,12918.23,5,4,4,544,普通用户
U000269,64,2,7572.799999999999,2,1,3,213,普通用户
U000270,28,4,5328.99,4,4,3,443,普通用户
U000271,28,3,17862.370000000003,4,3,5,435,高价值用户
U000272,63,4,4107.1,2,4,2,242,普通用户
U000273,57,2,2377.48,2,1,2,212,普通用户
U000274,4,5,16933.600000000002,5,5,5,555,高价值用户
U000275,139,2,2123.1000000000004,1,1,1,111,普通用户
U000276,23,3,8095.04,4,3,3,433,普通用户
U000277,114,1,18976.59,1,1,5,115,高价值用户
U000278,49,6,19329.01,3,5,5,355,高价值用户
U000279,26,5,4473.780000000001,4,5,2,452,普通用户
U000280,16,4,23483.31,4,4,5,445,高价值用户
U000281,110,2,1479.73,1,1,1,111,普通用户
U000282,47,2,9950.74,3,1,4,314,普通用户
U000283,28,3,5152.25,4,3,3,433,普通用户
U000284,143,3,2953.85,1,3,2,132,普通用户
U000285,15,5,4051.44,4,5,2,452,普通用户
U000286,28,5,22185.34,4,5,5,455,高价值用户
U000287,50,4,5685.860000000001,3,4,3,343,普通用户
U000288,54,3,2207.72,2,3,1,231,普通用户
U000289,10,3,3164.86,5,3,2,532,普通用户
U000290,78,4,10717.99,2,4,4,244,普通用户
U000291,9,4,8160.09,5,4,3,543,普通用户
U000292,15,3,4454.24,4,3,2,432,普通用户
U000293,24,5,5267.700000000001,4,5,3,453,普通用户
U000294,85,4,5072.32,2,4,3,243,普通用户
U000295,23,3,15260.399999999998,4,3,4,434,普通用户
U000296,75,1,112.28,2,1,1,211,普通用户
U000298,14,4,28089.32,5,4,5,545,高价值用户
U000299,111,1,11472.6,1,1,4,114,普通用户
U000300,121,1,2302.02,1,1,2,112,普通用户
U000301,13,4,4340.01,5,4,2,542,普通用户
U000302,44,2,1683.87,3,1,1,311,普通用户
U000303,38,4,5261.31,3,4,3,343,普通用户
U000304,52,3,9678.3,2,3,4,234,普通用户
U000305,25,4,6337.139999999999,4,4,3,443,普通用户
U000306,26,4,4941.58,4,4,3,443,普通用户
U000307,40,2,2041.63,3,1,1,311,普通用户
U000308,32,2,5878.96,3,1,3,313,普通用户
U000309,93,2,2432.56,1,1,2,112,普通用户
U000310,14,4,9034.14,5,4,4,544,普通用户
U000311,46,5,8417.2,3,5,4,354,普通用户
U000312,2,5,19790.79,5,5,5,555,高价值用户
U000313,43,3,3830.4400000000005,3,3,2,332,普通用户
U000315,38,3,22869.67,3,3,5,335,高价值用户
U000316,46,3,15702.75,3,3,4,334,普通用户
U000318,55,2,2815.94,2,1,2,212,普通用户
U000319,74,2,3369.37,2,1,2,212,普通用户
U000320,13,2,22599.620000000003,5,1,5,515,高价值用户
U000321,17,1,3479.75,4,1,2,412,普通用户
U000322,7,3,6541.72,5,3,3,533,普通用户
U000323,121,4,8388.550000000001,1,4,4,144,普通用户
U000324,153,1,880.36,1,1,1,111,普通用户
U000325,1,6,35539.92,5,5,5,555,高价值用户
U000326,3,4,29575.7,5,4,5,545,高价值用户
U000327,29,3,15566.52,4,3,4,434,普通用户
U000328,6,5,25388.33,5,5,5,555,高价值用户
U000329,13,5,5986.8,5,5,3,553,普通用户
U000330,57,5,16759.11,2,5,5,255,高价值用户
U000331,21,2,7752.55,4,1,3,413,普通用户
U000332,108,2,5653.030000000001,1,1,3,113,普通用户
U000334,8,3,1134.69,5,3,1,531,普通用户
U000335,53,5,13740.22,2,5,4,254,普通用户
U000336,90,3,2028.26,1,3,1,131,普通用户
U000337,32,1,755.46,3,1,1,311,普通用户
U000338,128,1,1076.74,1,1,1,111,普通用户
U000339,81,5,12644.68,2,5,4,254,普通用户
U000340,5,6,18215.03,5,5,5,555,高价值用户
U000341,30,4,13961.58,4,4,4,444,普通用户
U000342,23,1,1009.48,4,1,1,411,普通用户
U000343,28,6,25024.87,4,5,5,455,高价值用户
U000344,108,1,1510.26,1,1,1,111,普通用户
U000346,31,3,27312.83,3,3,5,335,高价值用户
U000347,18,1,156.11,4,1,1,411,普通用户
U000348,80,2,5451.88,2,1,3,213,普通用户
U000349,22,7,17522.36,4,5,5,455,高价值用户
U000351,173,1,7773.21,1,1,3,113,普通用户
U000352,2,5,8502.55,5,5,4,554,普通用户
U000353,26,3,7457.63,4,3,3,433,普通用户
U000354,19,5,36470.75,4,5,5,455,高价值用户
U000356,9,1,144.08,5,1,1,511,普通用户
U000357,76,2,1830.79,2,1,1,211,普通用户
U000358,53,1,3000.68,2,1,2,212,普通用户
U000359,16,1,1396.13,4,1,1,411,普通用户
U000360,23,3,7610.72,4,3,3,433,普通用户
U000361,34,3,21413.42,3,3,5,335,高价值用户
U000362,83,3,9313.6,2,3,4,234,普通用户
U000363,45,7,14509.56,3,5,4,354,普通用户
U000364,2,2,2902.89,5,1,2,512,普通用户
U000365,50,2,1205.53,3,1,1,311,普通用户
U000366,123,3,4288.86,1,3,2,132,普通用户
U000367,45,4,10899.779999999999,3,4,4,344,普通用户
U000368,15,2,29474.48,4,1,5,415,高价值用户
U000369,104,1,14208.05,1,1,4,114,普通用户
U000370,150,2,2875.9,1,1,2,112,普通用户
U000371,71,2,1207.75,2,1,1,211,普通用户
U000372,107,2,2884.5,1,1,2,112,普通用户
U000373,50,4,4230.17,3,4,2,342,普通用户
U000374,181,1,2718.57,1,1,2,112,普通用户
U000375,13,1,7030.61,5,1,3,513,普通用户
U000377,3,9,12208.64,5,5,4,554,普通用户
U000378,55,2,4381.610000000001,2,1,2,212,普通用户
U000379,1,3,13464.220000000001,5,3,4,534,普通用户
U000380,120,2,3554.1899999999996,1,1,2,112,普通用户
U000381,3,3,2812.33,5,3,2,532,普通用户
U000382,134,1,7701.23,1,1,3,113,普通用户
U000383,31,5,4893.94,3,5,3,353,普通用户
U000384,151,1,6744.93,1,1,3,113,普通用户
U000385,9,2,9671.630000000001,5,1,4,514,普通用户
U000386,54,5,34154.3,2,5,5,255,高价值用户
U000387,148,4,7778.5,1,4,3,143,普通用户
U000388,104,3,4323.68,1,3,2,132,普通用户
U000389,17,7,13781.91,4,5,4,454,普通用户
U000390,83,1,545.71,2,1,1,211,普通用户
U000392,88,1,11318.61,2,1,4,214,普通用户
U000393,11,5,33829.56,5,5,5,555,高价值用户
U000394,98,3,2524.0,1,3,2,132,普通用户
U000395,34,6,45953.91,3,5,5,355,高价值用户
U000396,64,5,32796.77,2,5,5,255,高价值用户
U000397,43,2,1236.83,3,1,1,311,普通用户
U000398,22,6,2429.24,4,5,2,452,普通用户
U000399,128,3,2937.35,1,3,2,132,普通用户
U000400,45,5,8775.900000000001,3,5,4,354,普通用户
U000401,63,4,20897.480000000003,2,4,5,245,高价值用户
U000402,96,3,12112.16,1,3,4,134,普通用户
U000403,14,9,16368.38,5,5,5,555,高价值用户
U000404,85,3,3709.7599999999998,2,3,2,232,普通用户
U000405,69,4,4747.93,2,4,3,243,普通用户
U000406,148,1,12679.22,1,1,4,114,普通用户
U000407,52,3,21488.95,2,3,5,235,高价值用户
U000408,15,3,13657.08,4,3,4,434,普通用户
U000409,9,6,8551.369999999999,5,5,4,554,普通用户
U000410,16,3,3940.67,4,3,2,432,普通用户
U000411,52,1,2692.81,2,1,2,212,普通用户
U000412,11,4,6659.7699999999995,5,4,3,543,普通用户
U000413,93,2,2162.42,1,1,1,111,普通用户
U000414,64,2,2768.6,2,1,2,212,普通用户
U000415,81,2,12006.380000000001,2,1,4,214,普通用户
U000416,77,1,1340.63,2,1,1,211,普通用户
U000417,52,1,4046.5,2,1,2,212,普通用户
U000418,58,1,7119.2,2,1,3,213,普通用户
U000419,50,4,7158.360000000001,3,4,3,343,普通用户
U000420,86,3,8262.74,2,3,4,234,普通用户
U000421,178,1,484.84,1,1,1,111,普通用户
U000422,6,4,21992.86,5,4,5,545,高价值用户
U000423,31,7,47822.58,3,5,5,355,高价值用户
U000424,19,6,10437.26,4,5,4,454,普通用户
U000426,50,2,1170.8,3,1,1,311,普通用户
U000427,50,3,3445.54,3,3,2,332,普通用户
U000428,6,3,4028.18,5,3,2,532,普通用户
U000429,73,2,3484.0299999999997,2,1,2,212,普通用户
U000430,42,1,10350.58,3,1,4,314,普通用户
U000431,1,2,3701.9399999999996,5,1,2,512,普通用户
U000432,35,3,3514.87,3,3,2,332,普通用户
U000433,42,5,4313.04,3,5,2,352,普通用户
U000434,170,1,1300.35,1,1,1,111,普通用户
U000435,14,3,7592.58,5,3,3,533,普通用户
U000436,36,5,5716.02,3,5,3,353,普通用户
U000437,136,2,659.38,1,1,1,111,普通用户
U000439,11,4,5916.0,5,4,3,543,普通用户
U000440,36,8,27178.84,3,5,5,355,高价值用户
U000441,6,5,6864.5,5,5,3,553,普通用户
U000442,3,4,8114.48,5,4,3,543,普通用户
U000443,17,1,237.42,4,1,1,411,普通用户
U000444,102,1,1655.9,1,1,1,111,普通用户
U000445,69,5,24989.69,2,5,5,255,高价值用户
U000446,48,3,8475.81,3,3,4,334,普通用户
U000447,16,6,23645.600000000002,4,5,5,455,高价值用户
U000448,44,5,38050.69,3,5,5,355,高价值用户
U000449,30,1,2370.97,4,1,2,412,普通用户
U000450,150,1,74.85,1,1,1,111,普通用户
U000451,55,5,17869.97,2,5,5,255,高价值用户
U000452,33,4,4436.31,3,4,2,342,普通用户
U000453,33,2,510.78,3,1,1,311,普通用户
U000454,29,2,2442.77,4,1,2,412,普通用户
U000455,9,2,2554.85,5,1,2,512,普通用户
U000456,10,5,6466.59,5,5,3,553,普通用户
U000457,110,3,1548.4299999999998,1,3,1,131,普通用户
U000458,11,6,33580.16,5,5,5,555,高价值用户
U000459,20,3,2376.2999999999997,4,3,2,432,普通用户
U000460,30,5,46606.38,4,5,5,455,高价值用户
U000461,118,1,1913.86,1,1,1,111,普通用户
U000462,31,4,8268.599999999999,3,4,4,344,普通用户
U000463,92,1,1092.39,1,1,1,111,普通用户
U000464,9,5,31156.63,5,5,5,555,高价值用户
U000465,116,1,1028.98,1,1,1,111,普通用户
U000466,33,6,10657.48,3,5,4,354,普通用户
U000467,6,3,2983.14,5,3,2,532,普通用户
U000468,36,2,1668.85,3,1,1,311,普通用户
U000469,9,2,17208.96,5,1,5,515,高价值用户
U000470,34,1,1151.86,3,1,1,311,普通用户
U000471,129,3,29025.28,1,3,5,135,高价值用户
U000472,24,4,5513.32,4,4,3,443,普通用户
U000473,21,3,3259.05,4,3,2,432,普通用户
U000474,53,2,30352.449999999997,2,1,5,215,高价值用户
U000475,78,1,204.96,2,1,1,211,普通用户
U000476,94,1,2874.32,1,1,2,112,普通用户
U000477,81,1,20173.41,2,1,5,215,高价值用户
U000478,88,1,812.09,2,1,1,211,普通用户
U000479,40,4,7564.41,3,4,3,343,普通用户
U000480,3,6,25814.39,5,5,5,555,高价值用户
U000481,47,2,1175.25,3,1,1,311,普通用户
U000482,51,1,10722.7,3,1,4,314,普通用户
U000483,128,3,20991.05,1,3,5,135,高价值用户
U000484,15,2,550.0600000000001,4,1,1,411,普通用户
U000485,11,4,10717.51,5,4,4,544,普通用户
U000486,7,4,4245.96,5,4,2,542,普通用户
U000488,9,2,1314.49,5,1,1,511,普通用户
U000489,18,4,10120.93,4,4,4,444,普通用户
U000490,76,4,1425.82,2,4,1,241,普通用户
U000491,20,6,7728.02,4,5,3,453,普通用户
U000492,19,4,8763.13,4,4,4,444,普通用户
U000493,19,7,6791.8,4,5,3,453,普通用户
U000494,32,2,2457.04,3,1,2,312,普通用户
U000495,8,11,47131.02,5,5,5,555,高价值用户
U000496,6,2,9212.279999999999,5,1,4,514,普通用户
U000498,18,5,43288.72,4,5,5,455,高价值用户
U000499,127,3,3107.21,1,3,2,132,普通用户
U000500,21,3,6073.83,4,3,3,433,普通用户
U000501,33,4,20415.4,3,4,5,345,高价值用户
U000502,105,3,23976.269999999997,1,3,5,135,高价值用户
U000503,160,2,10626.08,1,1,4,114,普通用户
U000504,51,5,12489.14,3,5,4,354,普通用户
U000505,40,2,21290.55,3,1,5,315,高价值用户
U000506,65,4,5527.62,2,4,3,243,普通用户
U000507,177,1,893.19,1,1,1,111,普通用户
U000508,78,2,4808.11,2,1,3,213,普通用户
U000509,109,2,342.24,1,1,1,111,普通用户
U000510,39,5,12053.77,3,5,4,354,普通用户
U000511,95,2,992.71,1,1,1,111,普通用户
U000512,133,1,1808.86,1,1,1,111,普通用户
U000513,49,3,2842.99,3,3,2,332,普通用户
U000514,41,2,4784.76,3,1,3,313,普通用户
U000515,59,1,2052.71,2,1,1,211,普通用户
U000516,39,4,2848.4700000000003,3,4,2,342,普通用户
U000517,94,1,434.63,1,1,1,111,普通用户
U000518,67,3,8225.82,2,3,4,234,普通用户
U000519,36,3,14563.93,3,3,4,334,普通用户
U000520,14,3,55411.52,5,3,5,535,高价值用户
U000521,59,4,4917.41,2,4,3,243,普通用户
U000522,173,1,188.67,1,1,1,111,普通用户
U000523,85,2,1763.4700000000003,2,1,1,211,普通用户
U000524,125,3,3865.92,1,3,2,132,普通用户
U000525,30,5,5382.36,4,5,3,453,普通用户
U000526,76,1,2247.2,2,1,1,211,普通用户
U000527,74,3,24564.079999999998,2,3,5,235,高价值用户
U000529,31,5,26223.489999999998,3,5,5,355,高价值用户
U000530,98,1,3712.67,1,1,2,112,普通用户
U000531,1,3,4767.139999999999,5,3,3,533,普通用户
U000532,131,1,9621.37,1,1,4,114,普通用户
U000533,41,3,16476.2,3,3,5,335,高价值用户
U000534,49,7,4106.950000000001,3,5,2,352,普通用户
U000535,1,4,23052.38,5,4,5,545,高价值用户
U000537,11,3,12731.869999999999,5,3,4,534,普通用户
U000538,175,1,868.47,1,1,1,111,普通用户
U000539,65,3,4975.74,2,3,3,233,普通用户
U000541,1,1,1647.59,5,1,1,511,普通用户
U000542,96,2,3373.66,1,1,2,112,普通用户
U000543,38,7,31444.649999999998,3,5,5,355,高价值用户
U000544,8,2,1992.88,5,1,1,511,普通用户
U000545,3,3,3108.02,5,3,2,532,普通用户
U000546,89,2,3410.73,1,1,2,112,普通用户
U000547,102,2,19004.16,1,1,5,115,高价值用户
U000549,65,5,3507.84,2,5,2,252,普通用户
U000550,52,4,3529.53,2,4,2,242,普通用户
