user_id,total_spent,order_count,avg_order_amount,last_order_date,days_since_last_order,加购,收藏,浏览,点击,churn
U000018,22760.27,4,5690.0675,2025-11-23 22:38:35.861335,102,1.0,0.0,3.0,2.0,1
U000019,15587.439999999999,3,5195.813333333333,2026-03-01 22:38:35.857691,4,1.0,1.0,3.0,2.0,0
U000020,18808.420000000002,6,3134.736666666667,2026-03-01 22:38:35.857691,4,0.0,0.0,0.0,2.0,0
U000021,1760.0,2,880.0,2026-01-01 22:38:35.864872,63,0.0,2.0,6.0,0.0,0
U000022,2446.35,2,1223.175,2025-12-10 22:38:35.867478,85,2.0,2.0,0.0,2.0,0
U000023,792.75,1,792.75,2025-10-12 22:38:35.866391,144,0.0,0.0,7.0,3.0,1
U000024,5794.95,2,2897.475,2025-10-30 22:38:35.867478,126,1.0,2.0,3.0,2.0,1
U000025,4318.9400000000005,5,863.7880000000001,2026-03-01 22:38:35.861335,4,0.0,1.0,2.0,2.0,0
U000026,23084.45,4,5771.1125,2026-02-27 22:38:35.861839,6,1.0,0.0,1.0,3.0,0
U000027,6554.9400000000005,5,1310.988,2026-01-02 22:38:35.864872,62,0.0,1.0,3.0,2.0,0
U000028,9786.61,3,3262.2033333333334,2025-11-10 22:38:35.861335,115,1.0,1.0,5.0,2.0,1
U000029,20499.95,4,5124.9875,2026-02-28 22:38:35.864872,5,3.0,0.0,0.0,2.0,0
U000030,1651.98,2,825.99,2026-02-03 22:38:35.859255,30,0.0,1.0,4.0,2.0,0
U000031,26876.56,6,4479.426666666667,2026-01-12 22:38:35.859255,52,0.0,1.0,1.0,1.0,0
U000032,2464.14,2,1232.07,2025-11-30 22:38:35.866952,95,0.0,2.0,4.0,0.0,1
U000033,8113.74,3,2704.58,2026-01-14 22:38:35.859255,50,0.0,2.0,1.0,2.0,0
U000034,5392.52,1,5392.52,2025-11-09 22:38:35.858737,116,0.0,1.0,1.0,1.0,1
U000035,18341.97,5,3668.3940000000002,2026-02-04 22:38:35.859255,29,2.0,2.0,5.0,1.0,0
U000036,2118.33,1,2118.33,2026-02-08 22:38:35.859255,25,0.0,1.0,5.0,1.0,0
U000037,1098.83,2,549.415,2026-02-06 22:38:35.861839,27,0.0,0.0,3.0,1.0,0
U000038,18778.53,5,3755.7059999999997,2026-01-14 22:38:35.861839,50,2.0,2.0,2.0,1.0,0
U000039,3995.73,3,1331.91,2026-02-20 22:38:35.860334,13,0.0,0.0,1.0,2.0,0
U000040,28892.82,8,3611.6025,2026-02-23 22:38:35.858737,10,0.0,1.0,0.0,3.0,0
U000041,4893.99,4,1223.4975,2026-03-03 22:38:35.861839,2,1.0,1.0,2.0,2.0,0
U000042,5900.39,5,1180.078,2026-02-13 22:38:35.858737,20,1.0,0.0,2.0,2.0,0
U000043,21563.76,1,21563.76,2026-01-20 22:38:35.864872,44,0.0,1.0,1.0,1.0,0
U000044,5096.57,3,1698.8566666666666,2025-12-29 22:38:35.864368,66,1.0,0.0,2.0,0.0,0
U000045,35678.04,4,8919.51,2026-01-22 22:38:35.861839,42,0.0,1.0,3.0,0.0,0
U000046,1929.4,3,643.1333333333333,2026-02-24 22:38:35.863358,9,2.0,2.0,3.0,1.0,0
U000047,18010.33,2,9005.165,2026-02-11 22:38:35.867478,22,0.0,2.0,6.0,5.0,0
U000048,557.6700000000001,2,278.83500000000004,2026-02-01 22:38:35.864368,32,2.0,2.0,6.0,0.0,0
U000049,4604.75,5,920.95,2026-01-11 22:38:35.858737,53,0.0,0.0,3.0,0.0,0
U000050,22054.510000000002,2,11027.255000000001,2026-01-23 22:38:35.863358,41,0.0,1.0,2.0,1.0,0
U000051,37147.88,4,9286.97,2026-01-03 22:38:35.865879,61,1.0,1.0,4.0,0.0,0
U000052,2145.11,2,1072.555,2026-02-02 22:38:35.865879,31,1.0,1.0,3.0,1.0,0
U000053,39966.51,7,5709.501428571429,2026-01-27 22:38:35.864872,37,1.0,0.0,5.0,4.0,0
U000054,5371.98,1,5371.98,2026-02-23 22:38:35.859255,10,0.0,1.0,4.0,3.0,0
U000055,2354.64,2,1177.32,2026-01-06 22:38:35.859255,58,0.0,1.0,6.0,0.0,0
U000056,827.55,2,413.775,2025-09-12 22:38:35.859255,174,0.0,1.0,4.0,0.0,1
U000057,689.23,1,689.23,2026-03-05 22:38:35.865879,0,1.0,0.0,2.0,1.0,0
U000058,4971.6900000000005,2,2485.8450000000003,2026-01-28 22:38:35.860334,36,0.0,2.0,2.0,1.0,0
U000059,1260.35,3,420.1166666666666,2025-12-28 22:38:35.860334,67,1.0,1.0,2.0,0.0,0
U000060,21613.69,1,21613.69,2026-02-26 22:38:35.861839,7,1.0,1.0,3.0,1.0,0
U000061,5025.23,3,1675.0766666666666,2025-12-17 22:38:35.863358,78,0.0,0.0,4.0,5.0,0
U000062,8324.01,4,2081.0025,2026-01-02 22:38:35.859255,62,1.0,1.0,2.0,3.0,0
U000063,895.41,1,895.41,2026-02-14 22:38:35.868487,19,1.0,2.0,3.0,0.0,0
U000064,3219.34,2,1609.67,2026-02-04 22:38:35.868992,29,0.0,1.0,1.0,1.0,0
U000065,9329.43,2,4664.715,2026-02-26 22:38:35.861839,7,0.0,2.0,0.0,1.0,0
U000066,618.05,2,309.025,2025-10-25 22:38:35.861839,131,0.0,1.0,1.0,2.0,1
U000067,7458.88,4,1864.72,2026-02-22 22:38:35.866952,11,1.0,0.0,2.0,2.0,0
U000068,1330.44,3,443.48,2026-01-17 22:38:35.861839,47,0.0,1.0,0.0,2.0,0
U000069,28218.63,3,9406.210000000001,2025-10-27 22:38:35.860334,129,0.0,0.0,2.0,2.0,1
U000070,7947.13,6,1324.5216666666668,2026-03-01 22:38:35.859255,4,0.0,0.0,5.0,2.0,0
U000071,5489.2699999999995,4,1372.3174999999999,2026-01-10 22:38:35.865879,54,0.0,0.0,4.0,2.0,0
U000072,2970.9700000000003,2,1485.4850000000001,2026-01-16 22:38:35.865879,48,1.0,0.0,3.0,1.0,0
U000073,2577.42,2,1288.71,2025-11-09 22:38:35.864368,116,0.0,1.0,5.0,1.0,1
U000074,17691.08,7,2527.297142857143,2026-03-01 22:38:35.861839,4,0.0,1.0,5.0,0.0,0
U000075,5900.32,2,2950.16,2026-03-03 22:38:35.860334,2,1.0,0.0,1.0,1.0,0
U000077,15341.41,8,1917.67625,2026-02-20 22:38:35.860334,13,0.0,0.0,1.0,2.0,0
U000078,8292.19,4,2073.0475,2026-03-05 22:38:35.859255,0,0.0,1.0,2.0,0.0,0
U000079,3948.2,3,1316.0666666666666,2025-12-14 22:38:35.859255,81,0.0,1.0,1.0,2.0,0
U000080,37504.96,8,4688.12,2026-02-28 22:38:35.861839,5,1.0,0.0,6.0,1.0,0
U000081,3303.24,4,825.81,2026-01-10 22:38:35.863358,54,1.0,1.0,3.0,2.0,0
U000082,2187.81,2,1093.905,2025-12-03 22:38:35.867478,92,1.0,2.0,3.0,0.0,1
U000083,4007.08,2,2003.54,2026-02-01 22:38:35.860262,32,0.0,2.0,7.0,2.0,0
U000084,14788.13,1,14788.13,2025-10-10 22:38:35.867478,146,1.0,1.0,7.0,0.0,1
U000085,5819.9800000000005,3,1939.9933333333336,2026-01-23 22:38:35.861839,41,0.0,2.0,1.0,2.0,0
U000086,2971.58,3,990.5266666666666,2026-02-04 22:38:35.861839,29,0.0,0.0,7.0,2.0,0
U000087,1210.14,3,403.38000000000005,2026-02-09 22:38:35.858737,24,0.0,1.0,5.0,2.0,0
U000088,20459.54,4,5114.885,2026-02-09 22:38:35.858737,24,1.0,3.0,4.0,1.0,0
U000089,21630.540000000005,3,7210.180000000001,2025-11-16 22:38:35.868487,109,1.0,0.0,3.0,0.0,1
U000090,3446.56,1,3446.56,2026-02-03 22:38:35.862847,30,0.0,0.0,2.0,4.0,0
U000091,19040.7,4,4760.175,2026-01-08 22:38:35.859255,56,0.0,0.0,2.0,3.0,0
U000092,25291.65,5,5058.33,2026-01-09 22:38:35.861839,55,0.0,1.0,2.0,6.0,0
U000094,3495.32,1,3495.32,2025-09-25 22:38:35.865879,161,0.0,0.0,5.0,1.0,1
U000096,1352.1599999999999,2,676.0799999999999,2026-01-12 22:38:35.864368,52,2.0,1.0,2.0,2.0,0
U000097,14264.0,4,3566.0,2026-02-06 22:38:35.860334,27,0.0,0.0,2.0,1.0,0
U000098,24167.66,5,4833.532,2026-02-01 22:38:35.867478,32,0.0,0.0,2.0,2.0,0
U000099,11814.869999999999,6,1969.1449999999998,2026-02-08 22:38:35.860334,25,0.0,1.0,5.0,4.0,0
U000100,7663.9400000000005,4,1915.9850000000001,2026-02-25 22:38:35.864872,8,0.0,2.0,4.0,3.0,0
U000101,19710.55,5,3942.1099999999997,2026-01-26 22:38:35.862847,38,1.0,1.0,3.0,3.0,0
U000102,30611.91,4,7652.9775,2026-03-05 22:38:35.864872,0,1.0,1.0,5.0,1.0,0
U000103,20535.62,2,10267.81,2025-12-21 22:38:35.863358,74,0.0,1.0,1.0,0.0,0
U000104,625.95,1,625.95,2025-11-11 22:38:35.866952,114,0.0,1.0,4.0,2.0,1
U000105,30976.05,4,7744.0125,2026-01-24 22:38:35.868487,40,0.0,0.0,2.0,3.0,0
U000106,10729.74,4,2682.435,2026-02-27 22:38:35.864368,6,1.0,0.0,2.0,2.0,0
U000107,6991.280000000001,4,1747.8200000000002,2026-01-29 22:38:35.859255,35,0.0,0.0,3.0,3.0,0
U000108,446.1,1,446.1,2026-01-19 22:38:35.863358,45,1.0,1.0,1.0,1.0,0
U000109,7021.42,3,2340.4733333333334,2026-02-01 22:38:35.868487,32,0.0,1.0,6.0,0.0,0
U000110,8236.119999999999,3,2745.373333333333,2026-01-25 22:38:35.857691,39,1.0,1.0,2.0,3.0,0
U000111,25677.7,6,4279.616666666667,2026-03-05 22:38:35.857691,0,1.0,0.0,4.0,1.0,0
U000112,10339.05,6,1723.175,2026-01-18 22:38:35.861839,46,3.0,0.0,5.0,3.0,0
U000113,7014.96,5,1402.992,2026-01-17 22:38:35.859255,47,1.0,2.0,3.0,2.0,0
U000114,9862.119999999999,4,2465.5299999999997,2026-02-19 22:38:35.867478,14,0.0,2.0,4.0,1.0,0
U000115,6457.22,4,1614.305,2026-03-01 22:38:35.858737,4,0.0,0.0,1.0,1.0,0
U000116,727.96,1,727.96,2025-10-25 22:38:35.866952,131,0.0,1.0,2.0,1.0,1
U000117,7242.52,3,2414.1733333333336,2026-02-03 22:38:35.860334,30,1.0,0.0,0.0,3.0,0
U000118,26885.81,6,4480.968333333333,2026-02-18 22:38:35.866952,15,0.0,2.0,5.0,1.0,0
U000120,5577.599999999999,2,2788.7999999999997,2025-11-18 22:38:35.859255,107,0.0,1.0,1.0,2.0,1
U000121,13213.23,4,3303.3075,2026-02-20 22:38:35.860334,13,1.0,3.0,1.0,1.0,0
U000122,26428.51,3,8809.503333333332,2026-01-15 22:38:35.864368,49,0.0,1.0,4.0,2.0,0
U000123,8282.92,2,4141.46,2026-01-04 22:38:35.863358,60,2.0,0.0,3.0,2.0,0
U000124,8277.55,3,2759.183333333333,2025-12-28 22:38:35.860334,67,1.0,3.0,4.0,0.0,0
U000125,1856.81,3,618.9366666666666,2026-02-23 22:38:35.858737,10,0.0,3.0,0.0,0.0,0
U000126,29514.84,6,4919.14,2026-03-02 22:38:35.857691,3,1.0,1.0,4.0,0.0,0
U000127,475.64,1,475.64,2026-01-27 22:38:35.863358,37,3.0,2.0,1.0,0.0,0
U000128,11753.64,5,2350.728,2026-01-08 22:38:35.866952,56,0.0,0.0,1.0,2.0,0
U000129,45768.409999999996,13,3520.6469230769226,2026-02-24 22:38:35.860334,9,0.0,1.0,1.0,2.0,0
U000130,3488.46,2,1744.23,2025-11-11 22:38:35.860334,114,0.0,0.0,3.0,0.0,1
U000131,20202.63,4,5050.6575,2026-02-07 22:38:35.859255,26,0.0,1.0,5.0,1.0,0
U000132,19651.93,3,6550.643333333333,2026-02-19 22:38:35.860334,14,0.0,2.0,2.0,5.0,0
U000133,13785.94,6,2297.6566666666668,2026-02-19 22:38:35.863358,14,0.0,1.0,3.0,1.0,0
U000134,5324.099999999999,4,1331.0249999999999,2026-02-14 22:38:35.864872,19,1.0,0.0,4.0,1.0,0
U000135,3093.34,2,1546.67,2026-02-06 22:38:35.858737,27,1.0,2.0,1.0,1.0,0
U000136,7177.76,5,1435.5520000000001,2026-02-16 22:38:35.861839,17,0.0,1.0,4.0,4.0,0
U000137,17845.710000000003,2,8922.855000000001,2025-12-03 22:38:35.864368,92,0.0,0.0,3.0,3.0,1
U000138,2423.33,2,1211.665,2026-01-17 22:38:35.861839,47,1.0,1.0,5.0,2.0,0
U000139,13597.47,6,2266.245,2026-03-05 22:38:35.864368,0,0.0,1.0,4.0,1.0,0
U000140,35207.32,5,7041.464,2026-01-02 22:38:35.866391,62,1.0,0.0,3.0,1.0,0
U000141,23684.329999999998,6,3947.388333333333,2026-01-16 22:38:35.861839,48,1.0,2.0,3.0,0.0,0
U000142,6341.860000000001,5,1268.372,2026-02-16 22:38:35.867478,17,0.0,0.0,4.0,0.0,0
U000143,1257.73,1,1257.73,2025-10-05 22:38:35.866952,151,1.0,2.0,3.0,1.0,1
U000144,4355.27,3,1451.756666666667,2026-03-03 22:38:35.860262,2,1.0,0.0,3.0,2.0,0
U000145,2160.03,2,1080.015,2026-02-26 22:38:35.862847,7,0.0,2.0,4.0,1.0,0
U000146,905.98,1,905.98,2025-10-08 22:38:35.859255,148,1.0,0.0,4.0,0.0,1
U000147,4046.39,2,2023.195,2025-10-13 22:38:35.859255,143,0.0,2.0,1.0,1.0,1
U000148,28628.54,4,7157.135,2026-01-01 22:38:35.861839,63,0.0,0.0,1.0,2.0,0
U000149,1304.9,1,1304.9,2026-01-18 22:38:35.859255,46,1.0,0.0,3.0,2.0,0
U000150,3249.88,3,1083.2933333333333,2026-02-21 22:38:35.857691,12,0.0,0.0,3.0,0.0,0
U000151,780.43,1,780.43,2026-01-02 22:38:35.859255,62,0.0,0.0,7.0,3.0,0
U000152,16668.28,3,5556.093333333333,2026-02-11 22:38:35.863358,22,0.0,2.0,3.0,1.0,0
U000153,6838.21,6,1139.7016666666666,2026-02-26 22:38:35.863358,7,0.0,1.0,1.0,2.0,0
U000154,21444.88,7,3063.554285714286,2026-02-12 22:38:35.865879,21,2.0,3.0,1.0,4.0,0
U000155,1707.2,2,853.6,2025-10-18 22:38:35.858737,138,1.0,1.0,2.0,2.0,1
U000156,1356.97,1,1356.97,2026-01-19 22:38:35.864368,45,0.0,1.0,3.0,5.0,0
U000158,534.32,1,534.32,2025-11-02 22:38:35.864368,123,0.0,2.0,2.0,2.0,1
U000159,4052.4,5,810.48,2026-03-01 22:38:35.866952,4,1.0,0.0,3.0,3.0,0
U000160,10026.76,5,2005.352,2026-02-28 22:38:35.868487,5,0.0,0.0,2.0,0.0,0
U000161,32363.46,9,3595.94,2026-03-01 22:38:35.859255,4,0.0,1.0,4.0,1.0,0
U000162,7957.51,5,1591.502,2026-01-24 22:38:35.868487,40,1.0,1.0,1.0,3.0,0
U000163,438.17,1,438.17,2026-01-29 22:38:35.865879,35,1.0,3.0,1.0,2.0,0
U000164,3735.29,4,933.8225,2026-01-11 22:38:35.861839,53,1.0,0.0,2.0,3.0,0
U000165,4351.5,3,1450.5,2026-01-05 22:38:35.858737,59,0.0,1.0,3.0,2.0,0
U000166,6210.6,3,2070.2000000000003,2026-01-24 22:38:35.862847,40,0.0,1.0,5.0,2.0,0
U000167,664.45,1,664.45,2025-12-10 22:38:35.866391,85,0.0,1.0,4.0,2.0,0
U000168,2542.26,2,1271.13,2025-10-27 22:38:35.864872,129,1.0,0.0,5.0,4.0,1
U000169,8939.25,1,8939.25,2025-09-29 22:38:35.867478,157,1.0,1.0,2.0,4.0,1
U000170,10641.35,1,10641.35,2025-11-26 22:38:35.859255,99,0.0,2.0,5.0,0.0,1
U000173,19176.13,5,3835.226,2026-03-04 22:38:35.866952,1,0.0,0.0,2.0,2.0,0
U000174,9153.61,3,3051.2033333333334,2026-02-16 22:38:35.861839,17,0.0,2.0,6.0,2.0,0
U000175,40275.9,3,13425.300000000001,2026-02-12 22:38:35.860334,21,1.0,0.0,1.0,1.0,0
U000176,3567.6,3,1189.2,2025-11-25 22:38:35.858737,100,1.0,2.0,2.0,0.0,1
U000177,23655.78,3,7885.259999999999,2026-02-10 22:38:35.857691,23,2.0,0.0,1.0,2.0,0
U000178,4278.13,3,1426.0433333333333,2026-01-25 22:38:35.868487,39,0.0,1.0,3.0,3.0,0
U000179,7504.68,4,1876.17,2026-01-16 22:38:35.857691,48,0.0,2.0,3.0,6.0,0
U000180,4223.07,4,1055.7675,2026-01-08 22:38:35.864368,56,0.0,0.0,3.0,4.0,0
U000181,510.31,1,510.31,2025-11-06 22:38:35.860334,119,1.0,1.0,3.0,0.0,1
U000182,2456.87,4,614.2175,2026-01-28 22:38:35.868487,36,0.0,1.0,3.0,0.0,0
U000183,9263.33,3,3087.7766666666666,2026-02-24 22:38:35.861335,9,0.0,0.0,8.0,1.0,0
U000184,1594.46,2,797.23,2026-02-09 22:38:35.864872,24,1.0,0.0,5.0,2.0,0
U000185,5710.99,1,5710.99,2025-11-02 22:38:35.866952,123,2.0,0.0,6.0,1.0,1
U000186,6158.68,4,1539.67,2025-11-15 22:38:35.859255,110,1.0,3.0,1.0,2.0,1
U000187,25473.329999999998,5,5094.665999999999,2026-02-04 22:38:35.865879,29,4.0,0.0,2.0,1.0,0
U000188,1606.33,1,1606.33,2025-10-18 22:38:35.864872,138,0.0,0.0,5.0,1.0,1
U000189,330.0,1,330.0,2026-02-05 22:38:35.867478,28,1.0,2.0,1.0,0.0,0
U000190,14713.57,6,2452.2616666666668,2026-02-10 22:38:35.860334,23,2.0,0.0,1.0,0.0,0
U000191,21992.2,4,5498.05,2026-02-11 22:38:35.863358,22,0.0,0.0,6.0,0.0,0
U000192,1640.13,1,1640.13,2026-03-02 22:38:35.866391,3,1.0,2.0,1.0,0.0,0
U000193,8907.289999999999,6,1484.5483333333332,2026-03-02 22:38:35.860334,3,0.0,0.0,0.0,1.0,0
U000194,19305.49,3,6435.163333333334,2026-01-21 22:38:35.868992,43,1.0,1.0,2.0,2.0,0
U000195,63148.96,4,15787.24,2026-02-22 22:38:35.864368,11,1.0,3.0,4.0,1.0,0
U000196,7535.889999999999,4,1883.9724999999999,2025-11-22 22:38:35.863358,103,0.0,1.0,1.0,2.0,1
U000197,8502.15,5,1700.4299999999998,2026-02-09 22:38:35.857691,24,0.0,0.0,2.0,2.0,0
U000198,4435.610000000001,2,2217.8050000000003,2026-01-02 22:38:35.861839,62,0.0,2.0,6.0,0.0,0
U000199,13834.92,5,2766.984,2026-02-26 22:38:35.864872,7,2.0,2.0,3.0,1.0,0
U000200,6059.66,3,2019.8866666666665,2025-12-03 22:38:35.859255,92,0.0,3.0,2.0,2.0,1
U000201,5805.37,2,2902.685,2026-01-05 22:38:35.866391,59,2.0,0.0,3.0,1.0,0
U000202,1345.21,1,1345.21,2026-01-17 22:38:35.867478,47,1.0,1.0,1.0,0.0,0
U000203,6580.18,4,1645.045,2026-02-19 22:38:35.858737,14,1.0,0.0,3.0,3.0,0
U000204,23248.25,2,11624.125,2026-02-05 22:38:35.864872,28,2.0,3.0,2.0,1.0,0
U000205,22027.12,4,5506.78,2026-02-04 22:38:35.861839,29,0.0,0.0,2.0,3.0,0
U000206,4345.84,2,2172.92,2026-02-17 22:38:35.864872,16,1.0,2.0,4.0,2.0,0
U000207,6332.44,3,2110.813333333333,2026-02-07 22:38:35.864872,26,0.0,0.0,4.0,2.0,0
U000208,1783.9,1,1783.9,2026-03-04 22:38:35.862847,1,1.0,0.0,7.0,4.0,0
U000209,2574.09,2,1287.045,2025-12-12 22:38:35.864872,83,1.0,3.0,0.0,4.0,0
U000210,6473.639999999999,3,2157.8799999999997,2026-03-04 22:38:35.866952,1,1.0,2.0,4.0,0.0,0
U000211,16393.34,3,5464.446666666667,2026-02-11 22:38:35.861839,22,0.0,2.0,4.0,3.0,0
U000212,6465.75,6,1077.625,2026-02-27 22:38:35.863358,6,1.0,3.0,5.0,1.0,0
U000213,24740.36,4,6185.09,2025-12-22 22:38:35.867478,73,0.0,1.0,3.0,1.0,0
U000214,31604.53,5,6320.906,2026-01-11 22:38:35.864872,53,0.0,0.0,2.0,1.0,0
U000215,10565.599999999999,4,2641.3999999999996,2026-01-20 22:38:35.866952,44,0.0,0.0,2.0,3.0,0
U000219,9829.08,6,1638.18,2026-03-05 22:38:35.863358,0,0.0,1.0,0.0,4.0,0
U000220,4687.75,3,1562.5833333333333,2025-11-03 22:38:35.859255,122,1.0,0.0,2.0,3.0,1
U000221,8447.69,4,2111.9225,2026-01-28 22:38:35.860334,36,0.0,1.0,4.0,1.0,0
U000222,871.37,1,871.37,2026-01-02 22:38:35.862847,62,0.0,1.0,4.0,2.0,0
U000223,3316.55,2,1658.275,2026-02-12 22:38:35.867478,21,1.0,1.0,6.0,0.0,0
U000224,1269.3,2,634.65,2026-02-23 22:38:35.864872,10,0.0,1.0,2.0,3.0,0
U000225,5774.33,4,1443.5825,2026-02-19 22:38:35.861839,14,2.0,1.0,5.0,4.0,0
U000226,687.76,1,687.76,2025-10-17 22:38:35.866952,139,2.0,1.0,3.0,1.0,1
U000227,3917.0200000000004,2,1958.5100000000002,2026-02-23 22:38:35.863358,10,1.0,1.0,3.0,1.0,0
U000228,6685.5,7,955.0714285714286,2026-02-24 22:38:35.866952,9,1.0,0.0,6.0,3.0,0
U000229,5790.76,5,1158.152,2026-02-06 22:38:35.865879,27,1.0,0.0,4.0,1.0,0
U000230,18856.670000000002,4,4714.1675000000005,2026-02-23 22:38:35.859255,10,0.0,1.0,5.0,2.0,0
U000231,6731.23,3,2243.7433333333333,2026-02-07 22:38:35.859255,26,3.0,0.0,1.0,1.0,0
U000232,15852.75,5,3170.55,2026-01-22 22:38:35.868487,42,1.0,1.0,4.0,0.0,0
U000233,1478.6,1,1478.6,2025-11-14 22:38:35.860334,111,1.0,2.0,2.0,0.0,1
U000234,31425.440000000002,7,4489.348571428572,2026-02-21 22:38:35.863358,12,1.0,3.0,3.0,3.0,0
U000235,14281.1,3,4760.366666666667,2026-01-07 22:38:35.865879,57,2.0,1.0,1.0,0.0,0
U000236,11077.75,4,2769.4375,2026-02-12 22:38:35.864872,21,0.0,0.0,2.0,3.0,0
U000237,7531.48,6,1255.2466666666667,2026-03-02 22:38:35.858737,3,0.0,0.0,7.0,1.0,0
U000238,2739.33,3,913.11,2026-02-19 22:38:35.866391,14,1.0,2.0,5.0,1.0,0
U000240,4509.65,4,1127.4125,2026-02-10 22:38:35.864872,23,0.0,1.0,5.0,1.0,0
U000241,27541.829999999998,4,6885.4574999999995,2025-11-17 22:38:35.858737,108,0.0,0.0,4.0,1.0,1
U000242,3980.1,2,1990.05,2025-11-08 22:38:35.861335,117,2.0,2.0,3.0,1.0,1
U000243,29013.75,1,29013.75,2025-12-07 22:38:35.868487,88,0.0,1.0,3.0,3.0,0
U000244,12739.19,6,2123.1983333333333,2026-01-15 22:38:35.868487,49,0.0,0.0,7.0,0.0,0
U000245,8605.75,3,2868.5833333333335,2026-03-03 22:38:35.860334,2,0.0,0.0,5.0,1.0,0
U000246,1788.98,2,894.49,2025-11-23 22:38:35.859255,102,2.0,0.0,7.0,0.0,1
U000247,8863.51,5,1772.702,2026-01-12 22:38:35.864872,52,1.0,1.0,10.0,2.0,0
U000248,7817.2,3,2605.733333333333,2026-02-08 22:38:35.860334,25,1.0,1.0,5.0,1.0,0
U000249,13112.73,2,6556.365,2025-12-23 22:38:35.863358,72,1.0,1.0,0.0,1.0,0
U000250,16091.38,3,5363.793333333333,2026-02-28 22:38:35.859255,5,0.0,1.0,4.0,0.0,0
U000251,35625.91,3,11875.303333333335,2025-12-22 22:38:35.863358,73,0.0,2.0,3.0,1.0,0
U000252,4758.719999999999,2,2379.3599999999997,2025-12-28 22:38:35.868487,67,0.0,0.0,3.0,1.0,0
U000253,4745.71,4,1186.4275,2025-12-07 22:38:35.864368,88,0.0,3.0,3.0,0.0,0
U000254,9562.96,3,3187.653333333333,2025-11-25 22:38:35.860334,100,0.0,0.0,0.0,1.0,1
U000255,4519.37,2,2259.685,2026-02-10 22:38:35.861335,23,1.0,1.0,3.0,0.0,0
U000256,7165.889999999999,2,3582.9449999999997,2025-12-29 22:38:35.867478,66,0.0,1.0,3.0,2.0,0
U000257,3301.87,2,1650.935,2026-02-23 22:38:35.863358,10,1.0,1.0,2.0,3.0,0
U000258,30172.73,4,7543.1825,2026-02-05 22:38:35.857691,28,1.0,0.0,4.0,2.0,0
U000259,11682.130000000001,6,1947.0216666666668,2026-01-17 22:38:35.858737,47,1.0,2.0,2.0,1.0,0
U000260,9766.77,3,3255.59,2025-11-22 22:38:35.858737,103,1.0,1.0,1.0,4.0,1
U000261,26801.2,7,3828.7428571428572,2026-02-26 22:38:35.861335,7,1.0,0.0,3.0,2.0,0
U000262,2545.46,1,2545.46,2025-11-19 22:38:35.863358,106,0.0,1.0,3.0,1.0,1
U000263,12249.22,2,6124.61,2025-10-29 22:38:35.867478,127,0.0,1.0,4.0,3.0,1
U000264,4769.97,5,953.994,2026-01-16 22:38:35.860334,48,0.0,1.0,6.0,1.0,0
U000265,23043.78,1,23043.78,2026-01-09 22:38:35.866391,55,0.0,1.0,4.0,1.0,0
U000266,6725.25,3,2241.75,2026-01-24 22:38:35.864872,40,0.0,1.0,4.0,2.0,0
U000267,3878.9,3,1292.9666666666667,2026-02-25 22:38:35.860334,8,1.0,1.0,4.0,3.0,0
U000268,12918.23,4,3229.5575,2026-02-24 22:38:35.863358,9,1.0,0.0,1.0,0.0,0
U000269,7572.799999999999,2,3786.3999999999996,2026-01-01 22:38:35.862847,63,1.0,1.0,4.0,3.0,0
